controller,gait,speed,period,step_width,command_df,achieved_df_median,achieved_df_q025,achieved_df_q975,compliance_rate,trials
adaptive_seed3,walk,0.35,0.48,0.5,0.65,0.6875,0.6875,0.6875,0.0,32
adaptive_seed3,walk,0.35,0.48,0.5,0.7,0.71875,0.71875,0.71875,0.0,32
adaptive_seed3,walk,0.35,0.48,0.5,0.75,0.75,0.75,0.75,1.0,32
adaptive_seed3,walk,0.4,0.48,0.1,0.5,0.6041666666666667,0.6041666666666667,0.6041666666666667,0.0,32
adaptive_seed3,walk,0.4,0.48,0.1,0.55,0.6354166666666667,0.6354166666666667,0.6354166666666667,0.0,32
adaptive_seed3,walk,0.4,0.48,0.1,0.6,0.6770833333333333,0.6770833333333333,0.6770833333333333,0.0,32
adaptive_seed3,walk,0.4,0.48,0.1,0.65,0.6875,0.6875,0.6875,0.0,32
adaptive_seed3,walk,0.4,0.48,0.1,0.7,0.71875,0.71875,0.71875,0.0,32
adaptive_seed3,walk,0.4,0.48,0.1,0.75,0.75,0.75,0.75,1.0,32
adaptive_seed3,walk,0.4,0.48,0.2,0.5,0.6041666666666667,0.6041666666666667,0.6041666666666667,0.0,32
adaptive_seed3,walk,0.4,0.48,0.2,0.55,0.6354166666666667,0.6354166666666667,0.6354166666666667,0.0,32
adaptive_seed3,walk,0.4,0.48,0.2,0.6,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,32
adaptive_seed3,walk,0.4,0.48,0.2,0.65,0.6875,0.6875,0.6875,0.0,32
adaptive_seed3,walk,0.4,0.48,0.2,0.7,0.71875,0.71875,0.71875,0.0,32
adaptive_seed3,walk,0.4,0.48,0.2,0.75,0.75,0.75,0.75,1.0,32
adaptive_seed3,walk,0.4,0.48,0.3,0.5,0.6041666666666667,0.6041666666666667,0.6041666666666667,0.0,32
adaptive_seed3,walk,0.4,0.48,0.3,0.55,0.6354166666666667,0.6354166666666667,0.6354166666666667,0.0,32
adaptive_seed3,walk,0.4,0.48,0.3,0.6,0.65625,0.65625,0.65625,0.0,32
adaptive_seed3,walk,0.4,0.48,0.3,0.65,0.6875,0.6875,0.6875,0.0,32
adaptive_seed3,walk,0.4,0.48,0.3,0.7,0.71875,0.71875,0.71875,0.0,32
adaptive_seed3,walk,0.4,0.48,0.3,0.75,0.75,0.75,0.75,1.0,32
adaptive_seed3,walk,0.4,0.48,0.4,0.5,0.59375,0.59375,0.59375,0.0,32
adaptive_seed3,walk,0.4,0.48,0.4,0.55,0.6328125,0.6302083333333334,0.6354166666666667,0.0,32
adaptive_seed3,walk,0.4,0.48,0.4,0.6,0.6458333333333334,0.6458333333333334,0.6458333333333334,0.0,32
adaptive_seed3,walk,0.4,0.48,0.4,0.65,0.6875,0.6875,0.6875,0.0,32
adaptive_seed3,walk,0.4,0.48,0.4,0.7,0.71875,0.71875,0.71875,0.0,32
adaptive_seed3,walk,0.4,0.48,0.4,0.75,0.75,0.75,0.75,1.0,32
adaptive_seed3,walk,0.4,0.48,0.5,0.5,0.5885416666666666,0.5859375,0.5891276041666667,0.0,32
adaptive_seed3,walk,0.4,0.48,0.5,0.55,0.625,0.625,0.625,0.0,32
adaptive_seed3,walk,0.4,0.48,0.5,0.6,0.6458333333333334,0.6458333333333334,0.6458333333333334,0.0,32
adaptive_seed3,walk,0.4,0.48,0.5,0.65,0.6875,0.6875,0.6875,0.0,32
adaptive_seed3,walk,0.4,0.48,0.5,0.7,0.71875,0.71875,0.71875,0.0,32
adaptive_seed3,walk,0.4,0.48,0.5,0.75,0.75,0.75,0.75,1.0,32
high_duty_walk_seed4,walk,0.25,0.48,0.1,0.75,0.7604166666666666,0.7604166666666666,0.7604166666666666,0.0,32
high_duty_walk_seed4,walk,0.25,0.48,0.1,0.8,0.8229166666666667,0.8229166666666667,0.8229166666666667,1.0,32
high_duty_walk_seed4,walk,0.25,0.48,0.1,0.85,0.8437500000000001,0.8437500000000001,0.8489583333333334,0.0,32
high_duty_walk_seed4,walk,0.25,0.48,0.1,0.9,0.875,0.875,0.875,0.0,32
high_duty_walk_seed4,walk,0.25,0.48,0.2,0.75,0.7604166666666666,0.7604166666666666,0.7604166666666666,0.0,32
high_duty_walk_seed4,walk,0.25,0.48,0.2,0.8,0.8229166666666667,0.8229166666666667,0.8229166666666667,1.0,32
high_duty_walk_seed4,walk,0.25,0.48,0.2,0.85,0.8541666666666667,0.8541666666666667,0.8541666666666667,0.0,32
high_duty_walk_seed4,walk,0.25,0.48,0.2,0.9,0.875,0.875,0.875,0.0,32
high_duty_walk_seed4,walk,0.25,0.48,0.3,0.75,0.7604166666666666,0.7604166666666666,0.7604166666666666,0.0,32
high_duty_walk_seed4,walk,0.25,0.48,0.3,0.8,0.8229166666666667,0.8229166666666667,0.8229166666666667,1.0,32
high_duty_walk_seed4,walk,0.25,0.48,0.3,0.85,0.8541666666666667,0.8541666666666667,0.8541666666666667,0.0,32
high_duty_walk_seed4,walk,0.25,0.48,0.3,0.9,0.875,0.875,0.875,0.0,32
high_duty_walk_seed4,walk,0.25,0.48,0.4,0.75,0.7604166666666666,0.7604166666666666,0.7604166666666666,0.0,32
